id,x,y
1152,-191.288,-85.017
1153,-170.034,-85.017
1154,-148.78,-85.017
1155,-127.525,-85.017
1156,-106.271,-85.017
1157,-85.017,-85.017
1158,-63.763,-85.017
1159,-42.508,-85.017
1160,-21.254,-85.017
1161,0,-85.017
1162,21.254,-85.017
1163,42.508,-85.017
1164,63.763,-85.017
1165,85.017,-85.017
1166,106.271,-85.017
1167,127.525,-85.017
1168,148.78,-85.017
1169,170.034,-85.017
1170,191.288,-85.017
1171,212.542,-85.017
1172,233.797,-85.017
1173,255.051,-85.017
1174,276.305,-85.017
1175,297.559,-85.017
1176,318.814,-85.017
1177,340.068,-85.017
1178,361.322,-85.017
1179,382.576,-85.017
1180,403.831,-85.017
1181,425.085,-85.017
1182,446.339,-85.017
1183,467.593,-85.017
1184,488.847,-85.017
1185,510.102,-85.017
1186,531.356,-85.017
1187,552.61,-85.017
1188,573.864,-85.017
1189,595.119,-85.017
1190,616.373,-85.017
1191,-616.373,-63.763
1192,-595.119,-63.763
1193,-573.864,-63.763
1194,-552.61,-63.763
1195,-531.356,-63.763
1196,-510.102,-63.763
1197,-488.847,-63.763
1198,-467.593,-63.763
1199,-446.339,-63.763
1200,-425.085,-63.763
1201,-403.831,-63.763
